ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Grande,Alto,150.0,380.0,1100.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Alto,10.0,15.0,40.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,5.0,5.0,5.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Médio,10.0,10.0,25.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Alto,10.0,30.0,60.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Alto,10.0,45.0,90.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Baixo,8.0,8.0,8.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Médio,10.0,15.0,30.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Médio,10.0,25.0,25.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Médio,10.0,25.0,40.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Alto,10.0,60.0,120.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Baixo,10.0,35.0,35.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Médio,10.0,35.0,50.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Alto,10.0,90.0,140.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Baixo,10.0,55.0,55.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Médio,10.0,45.0,100.0
ANEXO XXVIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.1 do ANEXO I",-,Alto,100.0,100.0,120.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Mínimo,Alto,80.0,125.0,300.0
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Pequeno,Alto,30.0,60.0,75.0
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Pequeno,Alto,45.0,100.0,120.0
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Médio,Alto,15.0,45.0,45.0
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Grande,Alto,100.0,160.0,380.0
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Grande,Alto,150.0,270.0,620.0
ANEXO XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Pequeno,Alto,30.0,40.0,1.0
ANEXO XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Pequeno,Alto,40.0,50.0,1.0
ANEXO XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Grande,Alto,50.0,60.0,1.0
ANEXO XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Grande,Alto,60.0,70.0,1.0
