anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Alto,15.0,34.0,76.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Baixo,15.0,56.0,92.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Médio,16.0,64.0,136.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Alto,17.0,68.0,152.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Mínimo,Médio,7.0,7.0,14.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Mínimo,Alto,7.0,14.0,28.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Médio,7.0,9.0,16.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Alto,11.0,28.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Médio,9.0,9.0,18.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Alto,12.0,40.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Grande,Médio,9.0,12.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Grande,Alto,12.0,68.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Excepcional,Médio,11.0,16.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Excepcional,Alto,12.0,103.0,285.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Mínimo,Alto,12.0,23.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Pequeno,Alto,12.0,29.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Pequeno,Médio,12.0,40.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Grande,Alto,12.0,68.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Excepcional,Alto,12.0,103.0,285.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Mínimo,Alto,12.0,14.0,14.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Pequeno,Alto,17.0,29.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Pequeno,Médio,23.0,57.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
